date,time,account,direction,amount,category,group,merchant,desc
2026-02-20,,UOB บัตรเครดิต,out,31.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-02-20,,UOB บัตรเครดิต,out,42.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-02-20,,UOB บัตรเครดิต,out,125.0,อาหาร/ร้านอาหาร,discretionary,ร้านอาหาร/ตามสั่ง,TMN FAST FOOD BANGKOK
2026-02-20,,UOB บัตรเครดิต,out,167.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-02-20,,UOB บัตรเครดิต,out,179.0,ซับสคริปชั่น/ดิจิทัล,discretionary,Google/YouTube,Google YouTube Mountain View
2026-02-21,,UOB บัตรเครดิต,out,104.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-02-21,,UOB บัตรเครดิต,out,127.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-02-21,,UOB บัตรเครดิต,out,178.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-02-21,,UOB บัตรเครดิต,out,774.75,ร้านสะดวกซื้อ,essential,Lotus,TMN LOTUS HYPER BANGKOK
2026-02-21,,UOB บัตรเครดิต,out,1072.0,อาหาร/ร้านอาหาร,discretionary,Yayoi,YAYOI(Y217)-I'M CHINAT BANGKOK
2026-02-22,,UOB บัตรเครดิต,out,29.0,อาหาร/ร้านอาหาร,discretionary,ร้านอาหาร/ตามสั่ง,TMN FAST FOOD BANGKOK
2026-02-22,,UOB บัตรเครดิต,out,48.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-02-22,,UOB บัตรเครดิต,out,239.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-02-22,,UOB บัตรเครดิต,out,279.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-02-22,,UOB บัตรเครดิต,out,682.5,ร้านสะดวกซื้อ,essential,Tops,TOPS-PATTAYA BEACH CHONBURI
2026-02-22,,UOB บัตรเครดิต,out,703.0,อาหาร/ร้านอาหาร,discretionary,OISHI RAMEN C.PATTAYA CHONBU,OISHI RAMEN C.PATTAYA CHONBURI
